[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[291/10000]: param_kd=02, param_n=08, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[292/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[293/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[294/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[295/10000]: param_kd=02, param_n=03, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[296/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[297/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[298/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[299/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[300/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[301/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[302/10000]: param_kd=03, param_n=04, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[303/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[304/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[305/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[306/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[307/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[308/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[309/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[310/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[311/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[312/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[313/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[314/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[315/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[316/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[317/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[318/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[319/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[320/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[321/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[322/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[323/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[324/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[325/10000]: param_kd=02, param_n=02, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[326/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[327/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[328/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[329/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[330/10000]: param_kd=03, param_n=03, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[331/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[332/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[333/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[334/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[335/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[336/10000]: param_kd=03, param_n=01, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[337/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[338/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[339/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[340/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[341/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[342/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[343/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[344/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[345/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[346/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[347/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[348/10000]: param_kd=01, param_n=04, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[349/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[350/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[351/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[352/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[353/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[354/10000]: param_kd=02, param_n=05, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[355/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[356/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[357/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[358/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[359/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[360/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[361/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[362/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[363/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[364/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[365/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[366/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[367/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[368/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[369/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[370/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[371/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[372/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[373/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[374/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[375/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[376/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[377/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[378/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[379/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[380/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[381/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[382/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[383/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[384/10000]: param_kd=01, param_n=09, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[385/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[386/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[387/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[388/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[389/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[390/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[391/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[392/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[393/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[394/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[395/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[396/10000]: param_kd=01, param_n=04, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[397/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[398/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[399/10000]: param_kd=02, param_n=08, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[400/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[401/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[402/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[403/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[404/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[405/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[406/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[407/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[408/10000]: param_kd=01, param_n=09, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[409/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[410/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[411/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[412/10000]: param_kd=02, param_n=05, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[413/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[414/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[415/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[416/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[417/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[418/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[419/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[420/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[421/10000]: param_kd=02, param_n=08, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[422/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[423/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[424/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[425/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[426/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[427/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[428/10000]: param_kd=01, param_n=09, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[429/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[430/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[431/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[432/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[433/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[434/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[435/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[436/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[437/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[438/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[439/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[440/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[441/10000]: param_kd=02, param_n=08, param_alpha=06, param_delta=0.100 -> accuracy=1.0
[442/10000]: param_kd=01, param_n=02, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[443/10000]: param_kd=01, param_n=01, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[444/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[445/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[446/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[447/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[448/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[449/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[450/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[451/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[452/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[453/10000]: param_kd=01, param_n=09, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[454/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[455/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[456/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[457/10000]: param_kd=02, param_n=06, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[458/10000]: param_kd=01, param_n=01, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[459/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[460/10000]: param_kd=01, param_n=02, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[461/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[462/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[463/10000]: param_kd=02, param_n=05, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[464/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[465/10000]: param_kd=02, param_n=06, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[466/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[467/10000]: param_kd=02, param_n=05, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[468/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[469/10000]: param_kd=02, param_n=06, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[470/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[471/10000]: param_kd=01, param_n=10, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[472/10000]: param_kd=02, param_n=08, param_alpha=06, param_delta=0.200 -> accuracy=1.0
[473/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[474/10000]: param_kd=01, param_n=01, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[475/10000]: param_kd=03, param_n=03, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[476/10000]: param_kd=03, param_n=01, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[477/10000]: param_kd=01, param_n=09, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[478/10000]: param_kd=01, param_n=10, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[479/10000]: param_kd=01, param_n=02, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[480/10000]: param_kd=02, param_n=10, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[481/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[482/10000]: param_kd=03, param_n=03, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[483/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[484/10000]: param_kd=02, param_n=03, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[485/10000]: param_kd=01, param_n=05, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[486/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[487/10000]: param_kd=01, param_n=10, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[488/10000]: param_kd=02, param_n=10, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[489/10000]: param_kd=03, param_n=03, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[490/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[491/10000]: param_kd=01, param_n=05, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[492/10000]: param_kd=02, param_n=05, param_alpha=06, param_delta=0.100 -> accuracy=1.0
[493/10000]: param_kd=01, param_n=04, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[494/10000]: param_kd=03, param_n=03, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[495/10000]: param_kd=02, param_n=10, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[496/10000]: param_kd=01, param_n=07, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[497/10000]: param_kd=01, param_n=01, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[498/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[499/10000]: param_kd=02, param_n=06, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[500/10000]: param_kd=01, param_n=10, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[501/10000]: param_kd=03, param_n=04, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[502/10000]: param_kd=01, param_n=05, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[503/10000]: param_kd=03, param_n=03, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[504/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[505/10000]: param_kd=02, param_n=02, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[506/10000]: param_kd=02, param_n=10, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[507/10000]: param_kd=01, param_n=02, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[508/10000]: param_kd=01, param_n=10, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[509/10000]: param_kd=03, param_n=01, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[510/10000]: param_kd=03, param_n=03, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[511/10000]: param_kd=01, param_n=05, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[512/10000]: param_kd=02, param_n=08, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[513/10000]: param_kd=01, param_n=09, param_alpha=02, param_delta=0.400 -> accuracy=0.4
